clip_id,target_id,frame,x,y,z,toddler looking at face,toddler looking at object,toddler making eye contact,toddler looking away,toddler following gaze,toddler playing alone,toddlers playing together,toddler showing object,toddler smiling,toddler crying,toddler frowning,toddler surprised,toddler neutral face,toddler happy face,moving object,moving person,bright object,dark object,hand reaching,face close-up,body close-up,object close-up,single toddler center,voice off-screen
335.000000,1.000000,2.000000,5.232714,8.226894,1.507582,0.233239,0.229899,0.228152,0.228115,0.231133,0.247075,0.255484,0.232974,0.229056,0.222460,0.225789,0.232454,0.187398,0.218276,0.194335,0.178010,0.176454,0.176907,0.200582,0.146166,0.154018,0.187097,0.240659,0.192854
335.000000,1.000000,32.000000,8.181390,7.934660,2.051054,0.241048,0.224366,0.236161,0.243169,0.244562,0.215739,0.236065,0.216849,0.197716,0.201389,0.198802,0.208001,0.195664,0.200831,0.167619,0.172422,0.137136,0.135476,0.162291,0.135253,0.134541,0.145143,0.237513,0.179260
335.000000,11.000000,101.000000,0.630431,8.026992,3.494363,0.182260,0.197161,0.167559,0.178626,0.176922,0.178001,0.178677,0.192426,0.175367,0.170177,0.182157,0.166060,0.143624,0.160278,0.207129,0.181251,0.187810,0.195429,0.198024,0.164756,0.193912,0.208909,0.176288,0.166261
335.000000,12.000000,116.000000,10.675200,5.936499,4.485282,0.266633,0.255054,0.248091,0.275622,0.256402,0.211827,0.225896,0.248158,0.233790,0.245185,0.241902,0.246850,0.232033,0.235179,0.177267,0.182730,0.160426,0.163460,0.182111,0.157202,0.154189,0.170192,0.253946,0.171400
335.000000,12.000000,146.000000,9.564445,8.210270,2.810069,0.225114,0.233334,0.234199,0.225172,0.234958,0.228252,0.222711,0.240041,0.192214,0.207448,0.196100,0.224650,0.187303,0.204528,0.175736,0.184109,0.130205,0.131107,0.185871,0.115296,0.116960,0.138461,0.241703,0.163387
335.000000,14.000000,125.000000,2.801178,7.773845,2.267530,0.205904,0.213390,0.184973,0.209167,0.205065,0.207370,0.197878,0.203527,0.185097,0.183464,0.200697,0.200611,0.174807,0.173174,0.209363,0.202449,0.179685,0.185203,0.198891,0.154295,0.173277,0.196907,0.211235,0.190855
335.000000,14.000000,155.000000,2.858029,7.668867,2.443564,0.206403,0.212159,0.191202,0.191026,0.188761,0.190696,0.206123,0.227267,0.183474,0.198333,0.186542,0.183157,0.157586,0.172016,0.202828,0.201694,0.174032,0.187177,0.228252,0.145511,0.175086,0.193736,0.208776,0.194575
335.000000,16.000000,154.000000,4.109845,8.654891,1.775396,0.185474,0.181561,0.188585,0.173422,0.175915,0.211845,0.203013,0.176456,0.175961,0.194245,0.183736,0.202135,0.154471,0.177119,0.178967,0.181694,0.158013,0.155003,0.175501,0.156205,0.180525,0.179284,0.200327,0.188922
335.000000,16.000000,184.000000,4.611617,8.469061,1.212023,0.210318,0.178881,0.206818,0.184655,0.185876,0.203814,0.201449,0.190708,0.176667,0.194334,0.187526,0.200301,0.165043,0.172672,0.163524,0.172115,0.137391,0.143435,0.168808,0.157666,0.172862,0.169559,0.205393,0.172102
335.000000,16.000000,214.000000,4.275504,8.668399,1.799890,0.183674,0.175148,0.187517,0.159603,0.161856,0.210450,0.196155,0.177731,0.158751,0.188263,0.183606,0.198115,0.153265,0.177390,0.184937,0.180828,0.140362,0.143979,0.145579,0.129287,0.146495,0.168402,0.200129,0.195629
335.000000,16.000000,244.000000,6.008995,8.504191,2.410918,0.210223,0.218434,0.211500,0.205381,0.208696,0.232536,0.228948,0.235140,0.182151,0.186038,0.182009,0.202034,0.160992,0.175573,0.203160,0.183666,0.161276,0.168485,0.189815,0.122736,0.133989,0.178668,0.231959,0.181071
