participants,clip_335,clip_340,clip_348,clip_351,clip_352
alkhraya,1.3783213872832507,1.1970665961945022,1.0550902953586552,0.9279334365325124,1.1015815013404886
allagrey,0.9588060913705613,1.3281578947368387,1.231551842751847,0.9115398373983755,0.916596810207336
alleaaro,0.964248083623694,1.1687086446104638,1.1177441108544965,0.8948209944751419,1.282620312499993
alpegabr,0.9335380645161315,1.1436536430834143,1.1095185378590033,1.1978547244094508,0.9387752021563317
andeelij,1.3280079207920676,1.0549691358024664,0.8514429548563621,0.9371371816638325,1.1094623255813911
andeknox,1.1018989619377169,1.3968142144638367,0.9791651728553122,1.1111676222596951,1.2527113543091646
bachlaur,1.2780128113879095,1.0777746947835662,1.0065320388349461,0.9470668750000059,1.204077077363901
beltcart,1.4614032786885431,1.3307273838630784,1.4411518377693295,1.1678800751879748,1.3978291390728448
bricjaxo,1.1377017667844491,1.1529496402877641,1.0135702970296976,1.0589623955431677,1.2800468749999927
brittris,1.1878134715025797,1.060500000000001,1.2052877108433713,0.9759366482504639,1.25371272229822
broobran,0.936733919156423,1.1416614745586693,0.9967165532879837,0.9672646592709951,1.0952866556836882
bryajain,1.0736730708661417,1.0813045685279186,0.9538617169373481,1.102031761006291,1.2060598159509226
bryaseve,1.0992668989546945,1.1125232198142452,1.4681879043600599,1.324940044742736,1.2616205761316899
byerroma,1.3192288524590163,1.1480000000000015,1.0171366515837108,1.1595693798449742,1.4535138632162756
cabraler,1.2586978723404276,1.1190043763676079,1.1227351351351427,1.0990933786078112,1.11805212765958
charchlo,1.6037999999999937,0.9956750823271135,1.3104202531645608,1.1601300763358846,1.2030659248956874
claxjohn,0.9262675862068995,1.1374548969072178,1.1466511756569886,1.1138948630137029,1.1479151736745925
claxzahi,1.017828571428574,1.1834263959390938,1.3520557692307626,1.1690281786941485,1.2817624999999926
colbquen,1.2980397976391103,1.1798760330578455,0.9632661016949162,1.2308470363288815,1.1478640601503654
colclevi,1.355228025477699,1.22088028169014,1.0571671232876745,1.1263390990990911,1.1228704787234094
compelio,1.2417407999999945,1.212717976318634,1.3483590027700838,1.0788553672316492,0.8906367469879498
criskars,1.2083773584905688,1.1169020021074747,1.2916019512195132,1.3186245250431727,1.0829913669064812
dakelege,1.2054566037735868,1.1710729613733895,1.2502218097447841,1.173411127379228,1.243553469387758
dejeluca,1.273607655502389,1.0184234234234235,0.9007657957244573,1.4365653846153816,0.9792033519553001
demimatt,0.8440281407035157,1.004537234042557,1.1841555035128806,1.1297183606557337,0.9135754491017996
dentskyl,0.9470357522123863,1.0075827814569598,0.8192881437125757,0.880396999999999,1.5657780821917844
easlelij,1.1882611398963647,0.9789315789473719,1.1407652173913037,1.124013437499999,1.320679158699819
elizwalt,1.100313479623828,1.1065120087336198,1.1254073752711617,1.1234917177914114,1.0737218259629109
evanhend,1.1080519480519406,0.9818770949720762,1.264893363844391,0.9613406301824183,1.002635856573701
eversydn,1.2016551724137916,1.0304480088495511,1.1155578947368427,1.2796707456979006,1.2606164609053525
fitzelan,1.206466321243522,1.2555334728033476,1.2918341463414644,1.1831204855842195,1.2197357961783535
fordaugu,1.2092968421052663,1.200083426028921,1.291535609756093,1.0558027350427353,1.0909458100558687
forrjaxx,1.0577910447761223,1.0457254697286016,1.1865426506024128,1.0443335593220235,0.8373305007587244
fostmatt,0.9932142857142902,0.9786050724637686,1.3804623853210958,1.5385423791821504,1.0802179245283063
fpjbfeec,1.2242716981132105,1.2482845188284517,1.3119333333333318,1.1284266447368532,1.1235789915966368
freeharl,0.8906909090909113,0.894973404255314,1.003145823927772,0.9571188034187981,1.2452064406779655
freydyll,1.0930145110410026,1.1226711560044857,0.989431481481486,1.0575981549815445,0.9779677621283277
fumualle,1.4238947368420989,1.3489560439560562,1.0464809195402311,1.0123234608985048,1.1966927807486638
gardamia,1.3744748201438952,1.2342551963048398,1.1209903930130978,0.9564760059612565,1.1417825938566561
gonznath,1.3329237735849044,1.2074620390455537,1.3570249999999935,1.2839387033398781,0.8960541176470622
grayadam,1.1097467128027603,1.1389136490250644,1.0419181395348869,1.007575862068969,1.0361509833585478
hallatla,1.1269469387755118,1.4008887545344557,1.0309711340206196,1.5013727642276489,1.6787923728813707
harpcasi,0.9984750000000067,0.9767607223476302,1.272562110311748,1.2299382575757483,1.2677958847736654
harrceli,1.106292537313435,1.1617486702127595,1.2700594965675032,1.0568497257769596,1.0178866666666722
haywakai,1.1144553633217908,1.2513673890608799,0.9843894736842033,1.1001954624781851,1.2076913946587473
headjane,0.9660134831460705,1.0832331730769214,1.2077377358490573,1.0790274305555514,1.1236256568778948
headjosi,0.869938144329896,1.0759106933019924,0.9124483091787389,1.3575038696537656,0.9814578947368416
hjbklbni,1.0300267686424502,1.3438951310861413,1.2996116710875378,1.331075044883306,1.0532497925311164
hodghenr,1.2046096551724228,1.2030422691879874,1.0880000000000063,1.3554774451097868,0.9388598473282466
hornluke,0.9856285714285696,1.1632864864864851,1.2704951945080063,1.019896785714283,1.2322881502890164
iodirach,1.4093593984962343,1.2218569844789264,0.9399025380710635,1.209344753086421,1.1022580392156855
jackryan,1.0650154981549818,0.9830485115766154,1.1315200000000012,0.9717816876122054,1.161106963788304
janariaZ,1.1870448979591943,1.1856339468302721,0.9566854586129737,1.0574540856031107,0.9232785714285718
jonelela,0.8963453625632365,1.0951011714589975,1.1338782608695683,1.0898700173310316,1.0545952191235144
keanlucy,1.3536563600782716,1.0967816901408411,1.2009846153846195,1.5138024242424233,1.166354006968643
lehmnoah,1.1521507853403161,1.2403966346153839,1.1200401746724986,1.066621119999997,1.0878301412872815
leimaddi,1.19676683937823,1.1703375286041238,1.0866217821782127,1.1189925093632993,0.7936045045045093
lonamaxw,0.9659490662139214,1.2053102746693782,1.1689584905660413,1.2057314787701308,1.2298532484076532
longjaco,0.7764450909090942,1.206912512716174,1.205738061465717,1.0680771241830063,1.126592070484585
lopesamu,0.963760824742267,1.1397279651795336,1.1715477386934723,0.770923793103452,0.9253244776119404
luchchas,1.244659834710738,1.0582588357588374,1.2748339331619598,1.080010017271154,1.1028294954721836
mackpaul,0.990287116564413,1.3090102639296264,1.3162934036939313,1.157294497153703,1.2205362637362596
madnmary,1.0540061538461594,0.9907058823529454,1.052413856812933,1.039184226190473,1.4790137323943673
malevict,0.8948237837837937,1.183506417736292,0.9852335731414935,1.2038958174904995,1.0352571428571375
martgene,1.357130501930505,1.399902642559105,1.3217709589041111,1.0134786786786738,1.2577383802816966
martthad,1.0801384615384526,1.3337146226415237,1.2478871794871782,1.123087755102038,1.0342100775193834
maysclay,1.2114339622641535,0.9489227895392267,1.1916828282828344,1.0379398260869592,1.395990545454558
mccaadon,1.3044504570383881,0.9597388465723693,1.1868865603644634,1.1696735664335685,1.0452279069767474
mcclfran,1.237254249547924,1.1531869369369452,1.5973080054273994,0.9965178832116746,1.3497486486486527
medaanee,1.1040410958904114,1.1270266836086404,1.177731958762879,0.784767771084338,1.2684674616695133
modikiaa,1.1364363636363581,1.0596129837702957,1.1321213367609304,1.0285702306079698,1.6791025423728967
moormaso,1.2326813397129106,1.2015361139369265,1.2290088578088543,0.9936032733224195,1.247288163265309
morgemer,1.0648510067114154,1.261432318992651,1.1758895883777267,1.1678732193732215,0.914182122905034
morgkase,0.8765936395759772,1.3816285329744302,1.2789104557640778,1.0639349565217437,0.7250342105263136
morrcame,1.2127404255319134,0.975425311203319,1.0977292307692303,1.3283532956685493,1.0030891410048604
myerluke,1.2600531365313739,0.9810167597765322,1.1684882833787567,1.2331415329768305,1.6839101694915402
nelsalar,1.0545324324324334,1.1986677115987439,1.0358611246943852,1.1762352380952346,1.1300365239294747
nichrhet,0.8637337442218769,0.9900227272727313,1.253850256410255,1.0688883636363533,0.8549698744769818
oshiorio,1.2728821621621684,0.9049522673031029,1.1136517857142816,1.1164424657534255,0.8933437013996851
ozmeella,1.1429443298969124,1.0350973236009773,1.252442154566747,1.098990861159934,1.3583742148760272
palmjara,1.6099628252788243,1.0060406698564694,1.2178591836734771,1.1571636697247607,1.0998180392156856
parkregi,1.0970027027027154,0.9670021074815598,1.206429197080295,1.2414529516994595,1.1364162406014928
pippjame,1.3168918032786885,0.9673338485316797,1.3784389513108617,0.9642749601275886,1.190874791318873
piscscot,1.0809874285714376,1.1448173803526376,1.0827990498812337,0.9419987301587336,1.16086476683938
pounlatr,1.2098330935251866,1.1841511936339446,1.2866734858680966,1.1269205761316912,1.153042227979276
powelevi,1.125876764199657,1.558547904191623,1.2271531615925009,0.9399794392523367,0.9215005970149253
radeaban,1.2654311418685058,1.1558197556008116,0.9737719298245612,1.2104631034482771,1.05433497822931
rembandr,1.0912373831775768,0.9631723380900135,1.014973913043483,1.0383121804511273,1.2756624999999924
richazur,1.0540474576271255,1.1185890257558861,1.0423272727272668,1.4426109161793335,1.2308601156069352
robiraya,1.1081187601957592,1.0622025912838573,1.2384353808353852,1.2589747899159676,1.1991502645502639
rollcair,0.855689770992367,1.102897727272728,1.189294339622634,1.0534201574803217,1.2457942857142885
rosinich,0.8838541996830436,1.0648144433299866,1.205749222797928,1.1671572027972046,1.1006108322325001
rutlemma,1.0929758241758272,1.4278740875912406,1.126240590405911,1.2003832229580538,0.9239812765957407
sayymuba,1.2172990099009822,1.131866438356166,1.1028842615012164,1.0908963350785368,1.012469218989292
sellthom,1.1995461818181847,1.0510680751173644,1.1448843091334975,1.0708726989079596,1.0683818181818219
serijack,1.4124871508379917,0.9546635182998754,1.0893505773672003,1.3281133192388888,1.4898390845070428
shacjohn,1.109183361064883,1.2463467492259992,0.8909310492505342,1.2394214285714327,1.111675348837205
shansank,1.0488685714285755,0.9474230769230786,1.1083845804988695,1.1667455805892446,1.249128849557531
shoonath,0.916708492201043,1.1063380281690103,1.2142903073286135,1.0369652336448654,1.0031799709724336
sincaust,1.261838297872345,1.0961080178173679,1.520700137174206,1.4449497227356665,1.2076913946587475
singviva,1.0237909090909123,1.1785657370517868,1.0985366336633728,1.2413840336134452,1.2460892307692304
slomlevi,1.3539572519083962,0.992581699346406,1.0614865384615408,1.4334602564102563,0.992646126760568
spaihenr,1.6106052044609809,1.1199244875943866,1.3367440000000028,1.2547016064256966,1.2221602547770798
stregeor,0.9730147651006739,1.210322580645161,1.1066620347394531,1.25640941512126,1.287052343749993
troswade,1.1101277882797824,1.4870807061790703,1.1821538461538381,0.913428330522773,1.1253379591836685
vagnalis,1.028998977853489,1.0993336944745382,1.0418481481481427,1.3802614406779667,1.1855366310160425
