participants,clip_335,clip_340,clip_348,clip_351,clip_352
abrichar,0.9435220125786151,1.1300473684210515,1.1302208023774185,0.9010678391959854,0.8646290816326528
aguijuli,1.0403225806451621,0.8764633600000039,1.2797419729206947,1.2824561403508723,1.1351237813884791
andezach,1.0033444816053512,1.1098342733188697,1.0616407643312131,1.1522032374100724,1.0599673667205163
angukall,1.041658986175116,0.9588528205128193,0.801510671936758,1.1517806267806283,1.0658920570264767
atkischo,1.0308968609865483,0.9057196560196565,1.1581329936305702,0.8633470225872728,1.1408230769230792
attonoah,1.0815714285714335,1.101950483091783,1.0482305555555516,1.0853556485355693,1.143040419161677
baddhunt,1.0865727699530507,1.107966379310353,1.209230716723554,1.1849337748344342,1.1378676514032502
baddsout,1.0303991596638657,1.2519793918919,1.0058045977011518,0.9937858508604148,1.0107774193548356
bamfdecl,1.1179213483146078,1.1679873626373538,1.113227983539096,1.0395316804407626,0.9466835489833642
barijaco,1.0562877442273555,1.0684661780104754,1.1533190023753024,1.0488272921108759,1.0681443396226376
barnbrie,1.0558956521739116,1.0156505785123873,1.0607128057553992,1.0780113636363746,1.0123587096774167
bootaugu,1.0284753363228711,1.0564988184747541,1.0565895861148291,1.0308232931726893,1.0284573134328376
branansl,1.0342879019908051,1.1173275720164728,1.311734711964543,0.8485169491525408,0.9729702752293578
brankate,1.011216216216214,1.0720085501858772,1.289272602739727,0.8715653153153189,1.1374484490398824
bryazoeZ,1.0891079812206566,1.0660179401993324,1.1647344827586208,1.1419007490636703,1.0715113207547131
burrhold,1.0362662337662378,0.9756760456273738,1.059979094076658,1.0959334565619239,1.0099035483870937
cabrtris,0.9882513661202182,1.0967824267782493,1.2257052631578955,0.9762303149606324,0.8497503836317178
catrnata,0.9868137254902027,1.1433558139534952,0.9824100000000032,1.0864729458917803,0.8559703488372095
coffcart,1.0160769230769167,1.0234440154440207,0.9876475728155335,0.9490842490842518,1.0155017077798847
colejord,1.0496269982238033,1.1335866666666632,1.2062505119453977,1.1523830935251802,1.1403368263473057
connowen,1.03433384379785,1.0703042931937214,1.1681102137767279,1.1785897435897443,1.0828963636363602
cordnoah,1.054916387959867,1.0555419978517682,1.1514880866425952,1.0408114558472537,1.053211409395975
costmack,1.0682947976878603,0.9196318284424333,1.1458869918699228,1.0355716878402899,1.1238832997987933
danihenr,1.0121554770318029,0.9109955974842735,0.9750639810426496,1.1510162601625955,1.1246153846153832
deckjohn,1.080845070422534,1.1632923439340388,1.1232117073170722,0.9926014319809121,1.061679999999996
dirimich,1.0709393063583803,1.1444913319238967,1.135273423980223,1.4740582191780798,1.0752630975143365
dohZsora,1.090904761904767,0.989393231441044,0.9799550387596929,1.1045768566493968,1.167707177033493
dorsalex,1.0403225806451621,0.9078345224395851,1.4379199084668206,1.0092839805825329,1.0431684563758403
dudlgast,1.0858215962441302,1.0220208640674362,1.209079180887377,1.1224908759124133,1.0546779831932787
duprconn,1.0409902597402552,1.1440482029598373,1.2053918088737252,0.8271892655367222,1.1596207547169815
dziucole,1.0138030888030825,1.1522177777777853,0.9277964529331453,1.0916487068965466,0.9527036750483515
farrmaxw,1.5244493392070302,0.8438370860927144,1.0372550400000011,1.4432410423452757,0.9844709016393388
ferrryle,1.0700722543352592,1.1802269972451762,0.9713011686143591,1.07159442724459,1.030337109374998
freekayd,1.048561278863235,1.0938774058577476,1.207765870307172,0.9751659292035451,1.1657056603773588
gentpark,0.8291037735849133,1.0232336909871258,1.1691627204030184,1.1135245901639406,1.1384774002954214
gentrila,1.0563130434782595,1.4842618101545306,1.1021463601532602,1.2057647058823526,1.0439427561837475
goldshai,1.0062611806797912,1.0433725540025418,1.1476806020066932,1.1623287671232934,1.1681757961783388
greeanya,1.017773654916519,1.0904270967741847,1.1942278571428542,0.9342751842751803,1.161365094339623
hallcapr,0.9773803526448387,1.0088112359550587,1.1826257142857133,1.0545501022494694,1.0957318275154004
hamijoli,0.9658560000000037,0.9628658595641666,1.1209768621236162,0.9551553672316435,1.1431648449039888
hancstep,1.0823809523809573,1.108657705677869,1.1216999999999973,1.1682263814616796,1.1335779960707284
hartcart,0.8552076124567456,1.1256244680851029,1.0487100864553325,0.9232954545454487,1.39549169054441
hbgihcog,1.3293899204244,0.9752227011494264,1.162494299287416,1.0088268792710733,1.5120613418530382
henrcale,1.0273542600896879,1.132972098765431,1.2056696245733838,1.1122244488978004,1.1397731166912857
hoffbenn,1.021774809160309,1.0760415335463251,1.2178798507462716,0.9732142857142809,1.53253737373737
jonecaro,0.9039843750000014,1.1220599277978307,0.9034151589242035,1.062500000000001,0.9439227053140098
knoraria,0.9704640000000038,0.808526799007444,1.026782305005822,1.1281733746130014,1.0111766497461934
lesamich,1.025499999999996,1.0270943005181388,1.0986082603254024,1.123310139165016,1.163921531100479
lindguyZ,1.0675144508670513,1.0309960264900693,1.0334247999999966,0.958056872037915,0.9966608424336967
lindthom,1.0527182866556855,1.1102321041214729,1.0527061968408227,0.9479064039408803,1.0726399999999963
maZZjoce,1.0398537477148009,0.9948615558060846,1.025378823529414,1.0601382488479234,1.16383664921466
machrome,1.0001063829787216,1.040280929095353,1.171780672268905,1.3328778135048216,1.0279016641452363
markruth,1.0615097690941404,1.0642313596491169,1.1678992874109317,1.0808794466403127,0.8751325301204823
marsmatt,1.0319318181818222,1.021672506082731,1.0197919028340137,1.0936413043478321,1.0196537360890305
mccravaZ,1.0200572519084,1.1206631914893581,0.9500294117646996,1.3704415954415963,1.1418431137724554
medigunn,0.9977514792899363,0.9623236662106706,1.1396814305364482,0.9900895140664846,0.9426752577319581
mediharl,1.113430656934305,1.0413715289982428,1.2721946403385054,1.0517699115044188,0.849203260869565
menzdyla,1.03433384379785,1.166378924731179,0.9432557457212694,0.9707070707070637,1.1320420323325666
mgimbgmc,1.073713872832369,1.0962343096234382,0.8841925311203287,1.0380576208178407,1.02638945634267
moorhuds,1.0829577464788722,0.821240845070424,1.115275764705882,1.182865731462919,1.0415459999999999
mosldare,0.9492397660818751,1.0613604678362598,1.0984116527942966,0.9959016393442679,1.0471211920529822
murpryan,1.0869047619047667,1.1447959830866874,1.0339786635404409,1.0219696969696976,0.8851561497326215
nealandr,1.0285201793721985,1.031560186263086,0.938470312499995,1.0671717171717212,1.160269811320755
nichjaso,1.0662068965517222,1.0643223733003684,1.0260161745827956,0.9661469933184775,0.7213592465753426
oberjuli,1.725152542372877,1.114835031847143,1.2073617747440322,1.33900523560209,1.1371435745937968
olivthom,1.0384826325411265,1.1400600422833045,0.9709949286846313,0.9053804347826018,1.136038404726736
pastpene,1.054227504244473,0.9982233632862642,1.214621641791048,1.0601910828025416,1.4905509316770214
pollcora,1.0709393063583805,1.1189072340425494,1.2082204778157049,1.1082386363636405,1.1584443396226418
pollsamu,1.0373200612557367,0.9790236881559192,0.9870215827338178,1.0033589251439532,1.0531867549668892
rayZkame,1.041500000000003,1.0975771966527266,1.0882342298288465,1.0539080459770085,1.1347770491803288
retcezra,1.0176666666666707,1.0361882872928219,1.1006554102259256,1.1885648148148173,1.1357020958083837
russever,1.0225951557093511,0.9420723098995711,1.420549999999995,0.9716954022988493,1.1647680412371135
sandmaxw,1.0478801843317977,1.1075876106194693,1.1644856396866845,1.0357625482625463,1.0464151006711424
sharryan,1.1906746987951764,1.11996638297872,1.081659574468089,1.0600885826771662,0.919967959527821
simorory,1.0727601156069353,1.066075968992245,1.0619128919860656,1.0007530120481933,1.0629924528301846
smitwill,1.1252238805970185,1.0675505422993519,1.6345302788844593,0.9931114551083698,0.8219459227467791
stainiko,1.044285714285715,0.945592832369941,0.9088792405063317,1.1052884615384617,0.9505506726457357
stinarie,1.030044843049329,1.1107491486946643,0.9578967664670641,1.1550485436893205,1.115984937238492
stonnola,1.3108270676691662,0.9786488081725232,1.1479083032490933,1.0603429203539845,1.0407996428571427
